"mam" "Age" "Hicorr" "Oicorr" "SiO2" "CaO" "P2O5" "AKTM"
"s1" 0 10162 12 134 55.64 9.38 0.14 22.23418251
"s2" 0 9308 74.91374719 214 60.15 5.15 0.14 22.64866145
"s3" 0 7530 92 168 61.39 4.35 0.17 23.16503039
"s4" 0 6385 79 254 64.12 2.33 0.18 23.57676826
"s5" 0 5971 106 210 61.63 3.41 0.18 23.44632768
"s6" 0 5553 92 267 64.48 3.16 0.19 21.27560521
"s7" 0 5300 115 186 64.39 3.61 0.19 21.07706592
"s8" 0 5158 98 259 64.83 3.25 0.18 21.28569777
"s9" 0 5021 108 223 64.85 2.3 0.17 21.5720626
"s10" 1 4857 101 290 67.51 2.8 0.18 19.47085099
"s11" 0 4589 113.4299069 243 64.61 3.38 0.18 20.53529687
"s12" 0 4344 100 294 72.68 2.06 0.17 17.20394372
"s13" 0 4085 114 262 67.26 2.72 0.18 19.35000576
"s14" 0 3896 98 264 71.71 2.26 0.17 17.66473731
"s15" 0 3718 104 214 68.23 2.35 0.16 20.22154403
"s16" 0 3544 88 312 67.08 2.92 0.18 19.07514451
"s17" 0 3403 112.6772145 413 70.9 2.56 0.18 18.00424154
"s18" 0 3328 99 270 70.9 2.56 0.18 18.00424154
"s19" 0 3230 117 384 72.32 2.05 0.16 17.44921745
"s20" 0 3079 101 248 65.03 4.29 0.16 19.56370388
"s21" 0 2997 99 367 65.03 4.29 0.16 19.56370388
"s22" 0 2880 102 258 65.6 2.58 0.17 20.90487239
"s23" 0 2779 108 244 NA NA NA NA
"s24" 0 2627 114 294 NA NA NA NA
"s25" 0 2541 110 206 66.51 2.89 0.16 20.46756819
"s26" 0 2445 104 306 66.51 2.89 0.16 20.46756819
"s27" 1 2338 153 200 68.87 2.11 0.17 20.04956071
"s28" 1 2232 134 255 68.87 2.11 0.17 20.04956071
"s29" 1 2127 147.8141504 270 69.13 1.97 0.18 20.2109752
"s30" 1 2001 127 239 68.53 1.76 0.18 20.83567969
"s31" 1 1893 130.1540805 338 68.03 1.87 0.17 21.27491835
"s32" 0 1789 111 257 66.49 1.92 0.16 22.45522557
"s33" 0 1653 106 265 66.42 2.89 0.16 21.07720337
"s34" 0 1544 106 228 66.42 2.89 0.16 21.07720337
"s35" 0 1387 102.5110733 272 65.95 2.53 0.15 21.97789678
"s36" 0 1237 105 269 68.65 1.49 0.16 21.11123608
"s37" 0 1088 89.00357576 337 68.65 1.49 0.16 21.11123608
"s38" 1 924 121 215 65.95 1.93 0.17 22.378502
"s39" 0 827 125 275 68.96 1.55 0.16 20.80197686
"s40" 1 715 107 372 68.57 1.69 0.17 20.63707218
"s41" 1 612 128 268 67.32 1.84 0.16 21.40909091
"s42" 1 522 112 312 67.32 1.84 0.16 21.40909091
"s43" 1 446 99 315 65.5 2.5 0.16 22.14334784
"s44" 0 344 135 279 68.12 1.45 0.16 21.1760707
"s45" 1 171 141 246 70.58 1.36 0.16 19.44910984
"s46" 0 -25 91 277 62.1 2.92 0.16 23.92652393
"s47" 0 -56 79 297 67.85 4 0.19 18.41716816
