Polygon_ID,Lab_ID
38,CX21
38,CX22
38,CX23
38,CX24
2,CX25
2,CX26
2,CX27
2,CX28
2,CX29
37,CX34
77,CX31
77,CX32
77,CX33
NA,CX30
40,CX06
40,CX07
40,CX08
40,CX09
40,CX10
39,CX16
39,CX17
39,CX18
39,CX19
39,CX20
37,CX35
37,CX36
37,CX37
37,CX38
37,CX39
77,CX01
77,CX02
77,CX03
77,CX04
77,CX05
76,CX11
76,CX12
76,CX13
76,CX14
76,CX15
NA,JD34
NA,JD35
NA,JD36
101,JD01
101,JD02
101,JD03
101,JD04
102,JD17
98,JD72
111,JD95
111,JD96
111,JD97
111,JD98
171,JD09
171,JD10
171,JD11
171,JD12
171,JD13
171,JD14
171,JD15
171,JD16
109,JD63
109,JD64
109,JD65
109,JD66
109,JD67
125,JD87
125,JD88
97,JD47
97,JD48
97,JD49
97,JD50
97,JD51
121,JD89
121,JD90
112,JD52
112,JD53
112,JD54
112,JD55
112,JD56
122,JD81
122,JD82
122,JD83
122,JD84
105,JD30
105,JD31
105,JD32
105,JD33
106,JD05
106,JD06
106,JD07
106,JD08
3,JD26
3,JD27
3,JD28
3,JD29
103,JD41
103,JD42
NA,JD43
NA,JD44
107,JD68
107,JD69
107,JD70
107,JD71
104,JD23
104,JD24
104,JD25
124,JD78
124,JD79
124,JD80
100,JD62
110,JD73
110,JD74
110,JD75
110,JD76
110,JD77
115,JD57
115,JD58
115,JD59
115,JD60
115,JD61
169,JD91
169,JD92
169,JD93
169,JD94
123,JD85
123,JD86
119,JD18
119,JD19
119,JD20
119,JD21
119,JD22
170,JD45
170,JD46
114,JD37
114,JD38
114,JD39
114,JD40
56,NH14
55,NH15
55,NH16
67,NH27
NA,NH03
50,NH28
50,NH29
53,NH08
46,NH19
46,NH20
44,NH01
58,NH09
NA,NH06
48,NH12
51,NH21
66,NH02
52,NH11
71,NH13
47,NH04
NA,NH05
NA,NH17
NA,NH18
43,NH07
63,NH22
63,NH23
61,NH10
64,NH24
NA,NH25
NA,NH26
4,SB103
NA,SB101
NA,SB102
NA,SB104
NA,SB105
NA,SB106
NA,SB107
NA,SB108
NA,SB109
25 or 24,SB018
25 or 24,SB019
25 or 24,SB020
25 or 24,SB021
11,SB138
11,SB140
NA,SB137
NA,SB139
8,SB096
8,SB097
8,SB098
8,SB099
8,SB100
13,SB084
13,SB085
13,SB086
30,SB053
NA,SB054
NA,SB055
NA,SB056
NA,SB057
4,SB146
4,SB147
4,SB148
4,SB149
141,SB030
141,SB031
141,SB032
141,SB033
NA,SB092
NA,SB093
