Lab_ID,leech_qty
SB001,87
SB002,57
SB003,92
SB004,70
SB005,37
SB006,21
SB007,5
SB008,14
SB009,20
SB010,21
SB011,37
SB012,13
SB013,3
SB014.1,35
SB014.2,34
SB014.3,33
SB014.4,37
SB014.5,33
SB015.1,45
SB015.2,46
SB015.3,49
SB015.4,49
SB015.5,48
SB016.1,50
SB016.2,46
SB016.3,52
SB016.4,52
SB016.5,53
SB017.1,40
SB017.2,41
SB017.3,47
SB017.4,41
SB017.5,41
SB018,54
SB019,39
SB020,40
SB021,39
SB022.1,34
SB022.2,34
SB022.3,44
SB022.4,33
SB022.5,33
SB023.1,42
SB023.2,52
SB023.3,55
SB023.4,40
SB023.5,46
SB024.1,43
SB024.2,41
SB024.3,38
SB024.4,43
SB024.5,36
SB025.1,38
SB025.2,40
SB025.3,34
SB025.4,39
SB025.5,41
SB026,6
SB027,36
SB028,15
SB029,5
SB030,83
SB031,95
SB032,89
SB033,65
SB034,31
SB035,32
SB036,33
SB037,41
SB038,44
SB039.1,22
SB039.2,21
SB039.3,22
SB039.4,22
SB039.5,22
SB040,59
SB041,37
SB042,84
SB043,16
SB044,23
SB045,23
SB046,24
SB047,39
SB048,48
SB049,71
SB050,45
SB051,58
SB052,70
SB053,17
SB054,63
SB055,53
SB056,29
SB057,52
SB058.1,41
SB058.2,38
SB058.3,26
SB058.4,38
SB058.5,26
SB059,17
SB060.1,22
SB060.2,21
SB060.3,18
SB060.4,16
SB060.5,23
SB061.1,27
SB061.2,36
SB061.3,38
SB061.4,40
SB061.5,35
SB062,64
SB063,96
SB064,52
SB065,52
SB066,11
SB067,15
SB068,11
SB069,6
SB070,7
SB071,20
SB072,19
SB073,15
SB074,15
SB075.1,35
SB075.2,34
SB075.3,36
SB075.4,33
SB075.5,37
SB076.1,39
SB076.2,38
SB076.3,40
SB076.4,38
SB076.5,40
SB077.1,50
SB077.2,42
SB077.3,46
SB077.4,39
SB077.5,47
SB078.1,49
SB078.2,49
SB078.3,50
SB078.4,50
SB078.5,50
SB079.1,35
SB079.2,38
SB079.3,35
SB079.4,37
SB079.5,32
SB080.1,37
SB080.2,39
SB080.3,40
SB080.4,36
SB080.5,34
SB081.1,41
SB081.2,41
SB081.3,39
SB081.4,39
SB081.5,29
SB082.1,40
SB082.2,47
SB082.3,40
SB082.4,33
SB082.5,42
SB083,1
SB084,39
SB085,85
SB086,23
SB087,20
SB088,21
SB089,20
SB090,14
SB091,2
SB092,9
SB093,9
SB094,9
SB095,11
SB096.1,38
SB096.2,41
SB096.3,39
SB096.4,39
SB096.5,41
SB097.1,37
SB097.2,40
SB097.3,34
SB097.4,33
SB097.5,36
SB098.1,58
SB098.2,56
SB098.3,58
SB098.4,46
SB098.5,61
SB099.1,28
SB099.2,38
SB099.3,37
SB099.4,35
SB099.5,30
SB100,2
SB101,17
SB102,14
SB103,11
SB104,17
SB105,4
SB106,15
SB107,27
SB108,49
SB109,36
SB110,6
SB111,19
SB112,6
SB113,21
SB114,8
SB115,40
SB116,26
SB117,69
SB118,13
SB119,10
SB120,10
SB121,42
SB122,6
SB123,39
SB124,85
SB125,68
SB126,66
SB127,79
SB128,77
SB129,84
SB130,20
SB131,82
SB132,26
SB133.1,48
SB133.2,48
SB133.3,48
SB133.4,46
SB133.5,45
SB134.1,54
SB134.2,51
SB134.3,49
SB134.4,43
SB134.5,47
SB135.1,39
SB135.2,41
SB135.3,41
SB135.4,36
SB135.5,39
SB136.1,47
SB136.2,47
SB136.3,47
SB136.4,47
SB136.5,48
SB137,14
SB138,11
SB139,21
SB140,18
SB141,43
SB142,38
SB143,47
SB144,27
SB145,43
SB146,75
SB147,59
SB148,71
SB149,77
SB150.1,52
SB150.2,42
SB150.3,43
SB150.4,43
SB150.5,36
SB151.1,55
SB151.2,37
SB151.3,53
SB151.4,53
SB151.5,55
SB152.1,41
SB152.2,42
SB152.3,40
SB152.4,40
SB152.5,42
SB153.1,38
SB153.2,42
SB153.3,40
SB153.4,43
SB153.5,38
SB154,2
XP001,73
XP002,47
XP003,51
XP004,44
XP005,39
XP006,59
XP007,23
XP008,49
XP009,86
XP010,94
XP011,89
XP012,75
XP013.1,32
XP013.2,32
XP013.3,32
XP013.4,32
XP013.5,32
XP014,96
XP015.1,30
XP015.2,29
XP015.3,29
XP015.4,29
XP015.5,29
XP016,87
XP017,67
XP018,88
XP019,13
XP020,10
XP021,16
XP022,25
XP023,17
XP024,16
XP025,37
XP026,49
XP027,45
XP028.1,22
XP028.2,24
XP028.3,27
XP028.4,22
XP028.5,25
XP029,73
XP030,67
XP031,57
XP032,43
XP033,34
XP034.1,10
XP034.2,20
XP034.3,28
XP034.4,24
XP034.5,20
XP035.1,24
XP035.2,24
XP035.3,25
XP035.4,24
XP035.5,25
XP036,71
XP037,93
XP038,92
XP039,72
XP040,6
XP041,4
XP042,7
XP043.1,28
XP043.2,29
XP043.3,32
XP043.4,29
XP043.5,32
XP044.1,26
XP044.2,28
XP044.3,27
XP044.4,26
XP044.5,28
XP045,95
XP046.1,30
XP046.2,34
XP046.3,33
XP046.4,30
XP046.5,32
XP047.1,40
XP047.2,40
XP047.3,40
XP047.4,41
XP047.5,40
XP048,27
XP049,33
XP050,23
XP051,33
XP052,30
XP053,24
XP054,34
XP055,31
XP056,42
XP057,34
XP058,43
XP059,70
XP060,25
XP061,29
XP062,39
XP063,43
XP064.1,40
XP064.2,27
XP064.3,22
XP064.4,33
XP064.5,22
XP065.1,20
XP065.2,24
XP065.3,24
XP065.4,18
XP065.5,30
XP066,56
XP067,45
XP068,55
XP069,66
XP070,81
XP071,43
XP072,68
XP073.1,38
XP073.2,20
XP073.3,18
XP073.4,20
XP073.5,35
XP074.1,22
XP074.2,24
XP074.3,25
XP074.4,28
XP074.5,20
XP075,75
XP076,78
XP077,38
XP078,43
XP079,17
XP080,19
XP081,16
XP082,19
XP083,63
XP084.1,38
XP084.2,43
XP084.3,42
XP084.4,46
XP084.5,47
XP085.1,32
XP085.2,33
XP085.3,34
XP085.4,34
XP085.5,34
XP086.1,34
XP086.2,35
XP086.3,33
XP086.4,34
XP086.5,36
XP087.1,39
XP087.2,35
XP087.3,40
XP087.4,38
XP087.5,37
XP088.1,41
XP088.2,41
XP088.3,42
XP088.4,41
XP088.5,41
XP089,56
XP090.1,13
XP090.2,14
XP090.3,15
XP090.4,13
XP090.5,49
XP091.1,27
XP091.2,27
XP091.3,28
XP091.4,28
XP091.5,24
XP092.1,33
XP092.2,25
XP092.3,31
XP092.4,25
XP092.5,28
XP093.1,27
XP093.2,27
XP093.3,28
XP093.4,28
XP093.5,27
XP094.1,44
XP094.2,48
XP094.3,46
XP094.4,45
XP094.5,48
XP095.1,38
XP095.2,37
XP095.3,38
XP095.4,36
XP095.5,37
XP096.1,33
XP096.2,36
XP096.3,35
XP096.4,36
XP096.5,38
XP097.1,47
XP097.2,47
XP097.3,46
XP097.4,44
XP097.5,42
XP098,58
XP099,43
XP100,37
XP101,59
XP102,33
XP103,52
XP104,32
XP105,59
XP106,80
XP107,30
XP108,34
XP109.1,20
XP109.2,22
XP109.3,20
XP109.4,20
XP109.5,27
XP110,25
XP111.1,31
XP111.2,31
XP111.3,45
XP111.4,28
XP111.5,36
XP112,37
XP113,50
XP114,58
XP115,57
XP116,59
XP117,63
XP118,35
XP119.1,26
XP119.2,29
XP119.3,27
XP119.4,30
XP119.5,34
XP120.1,25
XP120.2,26
XP120.3,26
XP120.4,26
XP120.5,26
XP121.1,27
XP121.2,26
XP121.3,26
XP121.4,26
XP121.5,25
XP122.1,35
XP122.2,35
XP122.3,31
XP122.4,34
XP122.5,34
XP123.1,23
XP123.2,21
XP123.3,23
XP123.4,22
XP123.5,21
JD01,36
JD02,47
JD03,54
JD04,19
JD05,14
JD06,7
JD07,8
JD08,6
JD09.1,21
JD09.2,26
JD09.3,23
JD09.4,21
JD09.5,20
JD10,90
JD11,66
JD12.1,27
JD12.2,22
JD12.3,24
JD12.4,25
JD12.5,24
JD13,20
JD14,50
JD15,14
JD16,32
JD17,29
JD18,19
JD19,10
JD20,13
JD21,26
JD22,42
JD23,44
JD24,28
JD25,5
JD26.1,29
JD26.2,23
JD26.3,27
JD26.4,25
JD26.5,26
JD27,81
JD28.1,39
JD28.2,40
JD28.3,43
JD28.4,43
JD28.5,38
JD29.1,34
JD29.2,32
JD29.3,41
JD29.4,36
JD29.5,38
JD30,30
JD31,26
JD32,68
JD33,14
JD34,22
JD35,6
JD36,44
JD37,80
JD38,54
JD39,26
JD40,34
JD41,21
JD42,21
JD43,41
JD44,11
JD45,30
JD46,8
JD47,6
JD48,9
JD49,8
JD50,13
JD51,17
JD52,60
JD53,54
JD54,59
JD55,60
JD56,98
JD57.1,37
JD57.2,36
JD57.3,37
JD57.4,36
JD57.5,36
JD58.1,41
JD58.2,37
JD58.3,42
JD58.4,40
JD58.5,39
JD59.1,30
JD59.2,29
JD59.3,29
JD59.4,31
JD59.5,30
JD60.1,36
JD60.2,33
JD60.3,36
JD60.4,37
JD60.5,40
JD61.1,21
JD61.2,20
JD61.3,19
JD61.4,21
JD61.5,21
JD62,31
JD63,53
JD64,26
JD65,44
JD66,38
JD67,33
JD68,48
JD69,13
JD70,22
JD71,31
JD72,14
JD73.1,20
JD73.2,20
JD73.3,20
JD73.4,20
JD73.5,20
JD74,41
JD75,38
JD76,41
JD77,51
JD78,63
JD79.1,35
JD79.2,30
JD79.3,29
JD79.4,28
JD79.5,28
JD80,24
JD81,29
JD82,61
JD83,5
JD84,7
JD85,29
JD86.1,33
JD86.2,32
JD86.3,32
JD86.4,34
JD86.5,32
JD87,36
JD88,68
JD89.1,22
JD89.2,29
JD89.3,30
JD89.4,25
JD89.5,28
JD90,7
JD91.1,27
JD91.2,23
JD91.3,27
JD91.4,22
JD91.5,25
JD92.1,20
JD92.2,22
JD92.3,21
JD92.4,22
JD92.5,20
JD93,42
JD94,9
JD95,92
JD96.1,25
JD96.2,29
JD96.3,30
JD96.4,29
JD96.5,26
JD97,63
JD98.1,18
JD98.2,18
JD98.3,24
JD98.4,23
JD98.5,22
CX01,6
CX02,7
CX03,3
CX04,14
CX05,10
CX06,20
CX07,41
CX08,25
CX09,21
CX10,18
CX11,13
CX12,22
CX13,16
CX14,51
CX15,31
CX16,14
CX17,32
CX18,19
CX19,31
CX20,13
CX21,21
CX22,14
CX23,6
CX24,21
CX25,26
CX26,9
CX27,2
CX28,10
CX29,11
CX30,20
CX31,13
CX32,11
CX33,11
CX34,10
CX35,22
CX36,10
CX37,12
CX38,9
CX39,8
ZY01,24
ZY02,1
ZY03,31
ZY04,6
ZY05,85
ZY06,1
ZY07,5
ZY08,8
ZY09,11
ZY10,25
ZY11,93
ZY12.1,28
ZY12.2,20
ZY12.3,24
ZY12.4,21
ZY12.5,23
ZY13.1,46
ZY13.2,45
ZY13.3,42
ZY13.4,42
ZY13.5,48
ZY14.1,27
ZY14.2,25
ZY14.3,27
ZY14.4,29
ZY14.5,29
ZY15.1,44
ZY15.2,43
ZY15.3,43
ZY15.4,45
ZY15.5,45
ZY16.1,39
ZY16.2,43
ZY16.3,44
ZY16.4,42
ZY16.5,42
ZY17.1,27
ZY17.2,24
ZY17.3,22
ZY17.4,25
ZY17.5,28
ZY18.1,39
ZY18.2,41
ZY18.3,42
ZY18.4,38
ZY18.5,33
ZY19.1,38
ZY19.2,41
ZY19.3,33
ZY19.4,43
ZY19.5,32
ZY20.1,53
ZY20.2,51
ZY20.3,65
ZY20.4,50
ZY20.5,50
ZY21.1,37
ZY21.2,37
ZY21.3,37
ZY21.4,36
ZY21.5,37
ZY22.1,45
ZY22.2,46
ZY22.3,45
ZY22.4,44
ZY22.5,44
ZY23,98
ZY24.1,37
ZY24.2,37
ZY24.3,37
ZY24.4,37
ZY24.5,38
ZY25,31
ZY26,60
ZY27,33
ZY28,64
ZY29,56
ZY30,30
ZY31,57
ZY32,2
ZY33,23
ZY34,83
ZY35,28
ZY36,50
ZY37,37
ZY38,27
ZY39,24
ZY40,33
ZY41,31
ZY42,28
ZY43,20
ZY44,23
ZY45,26
ZY46,28
ZY47,29
ZY48,36
ZY49,19
ZY50,34
ZY51,17
ZY52,12
ZY53,5
ZY54.1,22
ZY54.2,30
ZY54.3,21
ZY54.4,20
ZY54.5,16
ZY55,97
ZY56,8
ZY57,24
ZY58,82
ZY59,63
ZY60,22
ZY61,27
ZY62.1,21
ZY62.2,21
ZY62.3,21
ZY62.4,22
ZY62.5,20
NH01,20
NH02,9
NH03,1
NH04,15
NH05,5
NH06,2
NH07,1
NH08,1
NH09,11
NH10,13
NH11,15
NH12,8
NH13,9
NH14,1
NH15,6
NH16,10
NH17,5
NH18,5
NH19,2
NH20,9
NH21,2
NH22,3
NH23,15
NH24,2
NH25,10
NH26,4
NH27,3
NH28,14
NH29,6
