F-1-1	076361-M1-S1
F-2-1	081090-M1-S1
F-1-2	123545-M1-S1
F-2-2	124031-M1-S1
F-2-3	124031-M2-S1
F-7-1	128101-M1-S1
F-2-4	129276-M1-S1
F-7-2	130101-M1-S1
F-7-3	130102-M1-S1
F-7-4	130102-M2-S1
F-1-3	131067-M1-S1
F-11-1	134101-M1-S1
F-11-2	134101-M2-S1
F-2-5	135431-M1-S1
F-2-6	146764-M1-S1
F-2-7	146764-M2-S1
F-4-1	150732-M1-S1
F-4-2	150732-M2-S1
F-2-8	150801-M1-S1
F-2-9	150801-M2-S1
F-3-1	150802-M1-S1
F-1-4	155365-M1-S1
F-1-5	159408-M1-S1
F-1-6	159408-M2-S1
F-3-2	161191-M1-S1
F-3-3	179439-M1-S1
F-1-7	207746-M1-S1
F-1-8	207746-M2-S1
F-1-9	217961-M1-S1
F-4-3	248762-M1-S1
F-4-4	248762-M2-S1
F-4-5	252447-M1-S1
F-4-6	252447-M2-S1
F-4-7	257002-M1-S1
F-3-4	258173-M1-S1
F-7-5	268355-M1-S1
F-7-6	268355-M2-S1
F-7-7	268413-M1-S1
F-7-8	279822-M1-S1
F-6-1	280500-M1-S1
F-4-8	286789-M1-S1
F-6-2	287338-M1-S1
F-6-3	292528-M1-S1
F-6-4	301004-M1-S1
F-6-5	301004-M2-S1
F-6-6	307043-M1-S1
F-10-1	357256-M1-S1
F-10-2	357256-M2-S1
F-10-3	361840-M1-S1
F-10-4	364070-M1-S1
F-10-5	367193-M1-S1
F-10-6	372502-M1-S1
F-10-7	372502-M2-S1
F-6-7	378882-M1-S1
F-6-8	378882-M2-S1
F-10-8	400605-M1-S1
F-12-1	544292-M1-S1
F-12-2	594580-M1-S1
F-15-1	601725-M1-S1
F-15-2	601725-M2-S1
F-13-1	622337-M1-S1
F-15-3	642613-M1-S1
F-15-4	647830-M1-S1
F-15-5	650846-M1-S1
F-15-6	652934-M1-S1
F-15-7	652934-M2-S1
F-13-2	700226-M1-S1
F-13-3	700226-M2-S1
F-13-4	700239-M1-S1
F-13-5	HOBO-014-M1-S1
F-13-6	HOBO-032-M1-S1
F-13-7	HOBO-032-M2-S1
F-8-1	HOBO-036-M1-S1
F-8-2	HOBO-036-M2-S1
F-9-1	HOBO-053-M1-S1
F-9-2	HOBO-055-M1-S1
F-9-3	HOBO-055-M2-S1
F-14-1	HOBO-060-M1-S1
F-9-4	HOBO-063-M1-S1
F-9-5	HOBO-063-M2-S1
F-11-3	HOBO-211-M1-S1
F-11-4	HOBO-211-M2-S1
F-14-2	HOBO-216-M1-S1
F-14-3	HOBO-233-M1-S1
F-14-4	HOBO-242-M1-S1
F-3-5	HOBO-265-M1-S1
F-3-6	HOBO-270-M1-S1
F-3-7	HOBO-270-M2-S1
F-3-8	HOBO-273-M1-S1
F-8-3	HOBO-304-M1-S1
F-8-4	HOBO-304-M2-S1
F-5-1	HOBO-308-M1-S1
F-5-2	HOBO-310-M1-S1
F-5-3	HOBO-310-M2-S1
F-5-4	HOBO-312-M1-S1
F-5-5	HOBO-315-M1-S1
F-5-6	HOBO-315-M2-S1
F-5-7	HOBO-317-M1-S1
F-14-5	HOBO-331-M1-S1
F-14-6	HOBO-333-M1-S1
F-14-7	HOBO-333-M2-S1
F-11-5	HOBO-335-M1-S1
F-11-6	HOBO-335-M2-S1
F-12-3	HOBO-341-M1-S1
F-12-4	HOBO-345-M1-S1
F-11-7	HOBO-347-M1-S1
F-12-5	HOBO-349-M1-S1
F-12-6	HOBO-351-M1-S1
F-11-8	HOBO-353-M1-S1
F-12-7	HOBO-357-M1-S1
F-12-8	HOBO-357-M2-S1
F-8-5	SM-01-M1-S1
F-8-6	SM-01-M2-S1
F-8-7	SM-02-M1-S1
F-8-8	SM-03-M1-S1
F-5-8	SM-04-M1-S1
F-9-6	SM-05-M1-S1
F-14-8	SM-06-M1-S1
F-14-9	SM-06-M2-S1
F-9-7	SM-07-M1-S1
F-3-9	SM-08-M1-S1
F-9-8	SM-09-M1-S1
F-9-9	SM-09-M2-S1
F-11-9	SM-PG-M1-S1
NC1	NC1
NC2	NC2
NC3	NC3
NC4	NC4
NC5	NC5
PNC50	PNC50
PNC51	PNC51
PNC59	PNC59
