labname	sitename	lysis_ratio	UTM_E	UTM_N	be10	tri	slope	aspect	Nss	Ess	twi	ht	ht.r250	ht.r500	ht.r1k	cov2_4	cov2_4.r250	cov2_4.r500	cov2_4.r1k	cov4_16	cov4_16.r250	cov4_16.r500	cov4_16.r1k	be500	mTopo	cut.r1k.pt	clearcut	insideHJA	oldGrowthIndex	elevation_f	canopyHeight_f	minT_annual	maxT_annual	precipitation_mm	distToRoad_m	distToStream_m	YrsSinceDist	B1_20180717	B2_20180717	B3_20180717	B4_20180717	B5_20180717	B6_20180717	B7_20180717	B10_20180717	B11_20180717	NDVI_20180717	EVI_20180717	B_20180717	G_20180717	W_20180717	B1_20180726	B2_20180726	B3_20180726	B4_20180726	B5_20180726	B6_20180726	B7_20180726	B10_20180726	B11_20180726	NDVI_20180726	EVI_20180726	B_20180726	G_20180726	W_20180726	B1_20180802	B2_20180802	B3_20180802	B4_20180802	B5_20180802	B6_20180802	B7_20180802	B10_20180802	B11_20180802	NDVI_20180802	EVI_20180802	B_20180802	G_20180802	W_20180802	B1_20180818	B2_20180818	B3_20180818	B4_20180818	B5_20180818	B6_20180818	B7_20180818	B10_20180818	B11_20180818	NDVI_20180818	EVI_20180818	B_20180818	G_20180818	W_20180818	mean.NDVI	mean.EVI	mean.bright	mean.green	mean.wet	mean.NDVI.scale	mean.EVI.scale	mean.green.scale	mean.bright.scale	mean.wet.scale	l_Cover_2m_max	l_Cover_2m_max_all	l_Cover_2m_4m	l_Cover_2m_4m_all	l_Cover_4m_16m	l_p25	l_p25_all	l_p95	l_p95_all	l_rumple	uniqueID	elevation_m	canopyHeight_m	B1_median	B2_median	B3_median	B4_median	B5_median	B6_median	B7_median	B10_median	B11_median	lg_DistStream	lg_DistRoad	lg_YrsDisturb	lg_cover2m_max	lg_cover2m_4m	lg_cover4m_16m	ndmi_stdDev	ndvi_p5	ndvi_p50	ndvi_p95	ndmi_p5	ndmi_p50	ndmi_p95	savi_p50	LC08_045029_20180726_B1	LC08_045029_20180726_B3	LC08_045029_20180726_B4	LC08_045029_20180726_B5	LC08_045029_20180726_B7	LC08_045029_20180726_B10	ndmi_stdDev_100m	ndvi_p5_100m	ndvi_p50_100m	ndvi_p95_100m	ndmi_p5_100m	ndmi_p50_100m	ndmi_p95_100m	savi_p50_100m	LC08_045029_20180726_B1_100m	LC08_045029_20180726_B3_100m	LC08_045029_20180726_B4_100m	LC08_045029_20180726_B5_100m	LC08_045029_20180726_B7_100m	LC08_045029_20180726_B10_100m	tpi250	tpi500	tpi1k	tpi
S-1-1	076361-M1-S2	0.545454545	559380	4908110	1293.232666	1.412536621	10.12485816	166.8307125	-0.973701167	0.227828966	8.318987655	15.39000034	23.96678054	27.34848847	25.72579312	0.111159243	0.066300765	0.0496442	0.053623531	0.280107439	0.112777143	0.135001769	0.139738444	1324.653869	-31.42120278	0.097574893	yes	no	5	4242.602051	33.23974609	2.059999943	12.31000042	2612.600098	39.67574415	800.4324215	43	-6	56	314	150	3844	1189	495	2999	2984	924	2135	2917	2808	-387	146	180	418	215	4365	1377	573	3004	2989	906	2409	3397	3129	-434	8	57	258	130	3404	1103	465	2949	2942	926	2178	2596	2489	-397	-78	-1	248	122	3535	1163	470	2983	2972	933	1995	2671	2608	-427	0.92225	2.17925	2895.25	2758.5	-411.25	0.934850587	0.540261654	2.769875555	2.256977915	-0.67578047	0.404955804	0.410142779	0.111159243	0.113080584	0.280107439	3.779999971	3.772500038	15.39000034	15.23999977	3.4425776	076361_M1_S2	1293.145105	10.13147461	1	56.5	286	140	3689.5	1176	482.5	2991	2978	6.685153358	3.680765226	3.761223371	-0.901510982	-2.187835608	-1.269018339	0.071437324	0.269404858	0.816541076	0.882470131	0.416303396	0.504030228	0.712734699	-0.755954206	214	497	374	3549	602	3003	0.081605202	0.492940948	0.849667412	0.901934629	0.259249511	0.448193543	0.539611071	-0.672207564	160.9444444	452.0277778	281.4722222	3857	660.6111111	3002.361111	NA	NA	NA	NA
S-2-1	081090-M1-S2	0.090225564	567429	4904826	971.7548218	3.084938049	20.97281804	344.8953891	0.965451664	-0.260582204	7.565816285	14.84000015	21.20634258	25.47099541	26.2937074	0.041001093	0.030119278	0.028260559	0.028121424	0.863780618	0.248017478	0.224189951	0.164074949	975.6818007	-3.926978891	0.303851641	yes	no	1	3193.590088	38.95996094	3.309999943	14.06999969	2223.169922	55.92009946	343.8709441	28	-27	18	223	108	2621	629	217	2994	2989	920	2003	1907	1930	-63	118	133	293	152	2803	713	245	2998	2990	897	2437	2121	2011	-77	24	53	223	122	2627	602	209	2938	2931	911	2113	1915	1923	-34	-74	-29	139	67	2257	508	170	2960	2958	942	1902	1582	1699	-41	0.9175	2.11375	1881.25	1890.75	-53.75	0.830206986	0.209854352	0.376624473	-0.214791879	0.948051477	0.918466091	0.759116471	0.041001093	0.066237323	0.863780618	7.210000038	6.010000229	14.84000015	14.27999973	3.213454008	081090_M1_S2	973.4062588	11.87499609	-1.5	35.5	223	115	2624	615.5	213	2977	2973.5	5.840269333	4.023941759	3.332240224	-0.083962113	-3.170059646	-0.145279425	0.059301256	0.838297844	0.90880698	0.947194695	0.57470417	0.643454015	0.840764344	-0.964989066	106	275	140	2698	228	2997	0.056612189	0.823143149	0.892907667	0.945492243	0.516939998	0.621103426	0.735431714	-0.931340845	120.5555556	309.8055556	172.1388889	2765.055556	282.4444444	2997.638889	237.5124817	221.8405609	173.3044891	3
S-1-2	123545-M1-S2	0.075	559069	4906844	1236.096558	1.048751831	7.823121848	118.4879692	-0.476974218	0.878917286	7.691187899	33.11000061	25.11354664	29.02341728	26.10335595	0.07926134	0.081325824	0.057132702	0.06006284	0.278212637	0.093147714	0.105502631	0.138896516	1256.635439	-20.53888127	0.179172611	no	no	41	4056.288818	5.939941406	2.680000067	13.10999966	2321.899902	20.66578171	711.2952603	200	-18	33	224	123	2406	846	353	2978	2969	902	1969	1894	1730	-323	139	167	341	198	2931	1049	435	2989	2979	873	2382	2395	2043	-376	-1	41	208	120	2410	789	333	2929	2924	905	2027	1867	1740	-275	-74	-9	157	96	2137	733	301	2962	2956	914	1834	1641	1562	-280	0.8985	2.053	1949.25	1768.75	-313.5	0.411632584	-0.096592116	0.040148953	-0.049032169	-0.231781665	0.76449579	0.744324803	0.07926134	0.07212349	0.278212637	10.24750042	9.725000381	33.11000061	32.40999985	5.628205776	123545_M1_S2	1236.356832	1.810494141	-9.5	37	216	121.5	2408	817.5	343	2970	2962.5	6.567089024	3.028527663	5.298322367	-0.267231564	-2.522467216	-1.275781649	0.068717367	0.664796114	0.866763473	0.915789485	0.41034317	0.484451711	0.68051362	-0.726558328	139	341	198	2931	435	2989	0.083461085	0.66483319	0.881645011	0.928416178	0.323578445	0.502739853	0.618396235	-0.753889976	130.2702703	332.7567568	184.5135135	3179.837838	446.8648649	2989.567568	299.9373474	270.3370056	NA	2
S-2-2	124031-M1-S2	0.4	568830	4905948	1011.751709	1.820610046	12.8123022	190.1206845	-0.984439806	-0.175722133	8.603201688	66.81999969	33.45938647	25.46695097	23.6008425	0.023727005	0.034925508	0.053554974	0.062600108	0.070292369	0.203969752	0.238576879	0.271581076	1047.277394	-35.52568486	0.588302425	no	no	27	3317.610107	20.67993164	2.200000048	13.40999985	2325.080078	34.84894743	308.894706	200	-40	2	145	88	1603	503	206	3006	3000	895	1789	1234	1158	-156	100	125	256	167	2019	730	312	3011	3000	847	2221	1683	1383	-258	0	44	172	117	1646	531	228	2948	2940	867	1893	1308	1160	-165	-92	-40	102	65	1474	448	186	2975	2967	915	1627	1099	1088	-144	0.881	1.8825	1331	1197.25	-180.75	0.02610353	-0.956659979	-1.536045796	-1.556104827	0.371193694	0.952190518	0.93615061	0.023727005	0.029833302	0.070292369	31.81999969	27.35499954	66.81999969	65.55000305	13.15606785	124031_M1_S2	1011.207561	6.303243164	-20	23	158.5	102.5	1624.5	517	217	2990.5	2983.5	5.733003699	3.551051629	5.298322367	-0.047940481	-3.699859299	-2.640965991	0.037563934	0.816318154	0.858755827	0.900877178	0.456790119	0.51012671	0.595821321	-0.765073061	123	327	207	2632	376	3009	0.056103551	0.724357618	0.849093235	0.895873896	0.403589569	0.508050424	0.619360571	-0.761945589	144.9166667	363.8333333	247.0555556	2787.888889	449.3611111	3008.722222	239.8733521	206.2452393	172.4163208	3
S-2-3	124031-M2-S2	0.092307692	568830	4905948	1011.751709	1.820610046	12.8123022	190.1206845	-0.984439806	-0.175722133	8.603201688	66.81999969	33.45938647	25.46695097	23.6008425	0.023727005	0.034925508	0.053554974	0.062600108	0.070292369	0.203969752	0.238576879	0.271581076	1047.277394	-35.52568486	0.588302425	no	no	27	3317.610107	20.67993164	2.200000048	13.40999985	2325.080078	34.84894743	308.894706	200	-40	2	145	88	1603	503	206	3006	3000	895	1789	1234	1158	-156	100	125	256	167	2019	730	312	3011	3000	847	2221	1683	1383	-258	0	44	172	117	1646	531	228	2948	2940	867	1893	1308	1160	-165	-92	-40	102	65	1474	448	186	2975	2967	915	1627	1099	1088	-144	0.881	1.8825	1331	1197.25	-180.75	0.02610353	-0.956659979	-1.536045796	-1.556104827	0.371193694	0.952190518	0.93615061	0.023727005	0.029833302	0.070292369	31.81999969	27.35499954	66.81999969	65.55000305	13.15606785	124031_M2_S2	1011.207561	6.303243164	-20	23	158.5	102.5	1624.5	517	217	2990.5	2983.5	5.733003699	3.551051629	5.298322367	-0.047940481	-3.699859299	-2.640965991	0.037563934	0.816318154	0.858755827	0.900877178	0.456790119	0.51012671	0.595821321	-0.765073061	123	327	207	2632	376	3009	0.056103551	0.724357618	0.849093235	0.895873896	0.403589569	0.508050424	0.619360571	-0.761945589	144.9166667	363.8333333	247.0555556	2787.888889	449.3611111	3008.722222	239.8733521	206.2452393	172.4163208	3
S-7-1	128101-M1-S2	0.12	562060	4898855	803.8458252	3.828529358	23.20799235	286.2773366	0.280287035	-0.959916235	2.834838825	18.30850029	24.34464182	29.05788797	30.1020606	0.056836903	0.042124957	0.034250854	0.025344206	0.708401978	0.240043364	0.195635161	0.155031041	739.3029945	64.54283065	0.515834522	yes	no	15	2637.540039	46.67993164	4	14.98999977	2043.589966	78.92102043	1004.61157	42	-4	42	235	111	2223	633	227	3005	2998	904	2050	1693	1604	-131	146	151	310	153	2487	732	274	3008	2996	884	2566	1963	1747	-154	36	62	234	119	2170	615	225	2946	2938	896	2118	1665	1555	-123	-47	-6	166	76	1977	527	188	2968	2960	925	1917	1452	1459	-101	0.90225	2.16275	1693.25	1591.25	-127.25	0.494245953	0.45702928	-0.449395348	-0.673068725	0.614200713	0.947830856	0.815191925	0.056836903	0.084676236	0.708401978	8.037500381	6.340000153	18.30850029	17.71999931	3.643299103	128101_M1_S2	803.9222039	14.22804316	16	52	234.5	115	2196.5	624	226	2986.5	2978	6.912357244	4.368460282	3.737693428	-0.05252473	-2.850128245	-0.343332948	0.116506056	0.364377677	0.886126101	0.92814374	0.140653029	0.579274595	0.650120497	-0.868761897	161	339	179	3146	337	3009	0.080239043	0.56071558	0.878329039	0.934235804	0.293299535	0.569310703	0.643494056	-0.853796044	153.5714286	317.8	168.6571429	2696.057143	302.8285714	3009.171429	214.7655334	235.1313019	259.6483459	2
S-2-4	129276-M1-S2	0.047524752	566409	4905644	854.4552612	2.038871765	14.99461919	262.797252	-0.125380818	-0.992108689	NA	32.11000061	25.89613149	28.71542567	28.55178504	0.003160556	0.019835401	0.020237891	0.030143195	0.043155961	0.157641279	0.181092629	0.198395423	866.2949487	-11.83968742	0.437660485	yes	no	19	2802.47998	90.16992188	3.539999962	14.31999969	2184.620117	60.06075699	236.7835545	55	9	59	255	163	2300	888	371	3015	3002	867	1883	1891	1610	-360	148	172	344	213	2688	1057	445	3021	3007	853	2311	2271	1840	-421	49	88	252	165	2348	863	356	2957	2948	868	2037	1913	1646	-325	-35	9	193	122	2245	783	309	2981	2973	896	1823	1754	1621	-286	0.871	2.0135	1957.25	1679.25	-348	-0.194198787	-0.295845374	-0.206691694	-0.029531027	-0.388487126	0.995230436	0.90951848	0.003160556	0.017440382	0.043155961	22.93499947	18.92000008	32.11000061	31.04999924	3.708208799	129276_M1_S2	854.1958979	27.48379219	29	73.5	253.5	164	2324	875.5	363.5	2998	2987.5	5.467150675	4.095373316	4.007351367	-0.003776686	-5.482106485	-3.12002735	0.127355766	0.582089543	0.844117641	0.884044528	0.24635762	0.421842992	0.760797322	-0.632656515	145	350	244	2661	524	3020	0.091558887	0.674327789	0.848746708	0.902558565	0.374229357	0.511211117	0.725650527	-0.766685737	161.2	347.7428571	231.5714286	2688.457143	428.3714286	3021.114286	207.9372711	188.2816315	159.0674438	3
S-7-2	130101-M1-S2	0.3	561772	4899699	754.6699829	4.81615448	32.18491265	266.3870773	-0.063015617	-0.998012541	3.539903725	46.65000153	27.84445845	33.42184067	30.19499332	0.025269929	0.015805145	0.024692562	0.029586883	0.219733521	0.215214156	0.150223888	0.18434453	684.604741	70.06524187	0.45192582	no	no	30	2479.62207	136.8269043	3.440000057	15.06999969	2030.880005	27.95330285	559.1326869	200	16	50	229	127	2312	619	223	3005	2997	895	2023	1747	1668	-101	156	169	320	167	2611	779	273	3010	2998	879	2603	2065	1833	-158	45	79	227	120	2201	586	210	2944	2938	896	2233	1671	1581	-90	-45	2	171	84	2145	545	199	2963	2958	924	1955	1565	1584	-89	0.8985	2.2035	1762	1666.5	-109.5	0.411632584	0.662588022	-0.241856144	-0.505480782	0.694824537	0.892832518	0.851109028	0.025269929	0.031528853	0.219733521	14.26000023	13.97500038	46.65000153	45.97000122	6.582256317	130101_M1_S2	755.7888069	41.70484043	30.5	64.5	228	123.5	2256.5	602.5	216.5	2984	2977.5	6.326388598	3.330571136	5.298322367	-0.112236862	-3.639330366	-1.510799091	0.038618409	0.808535159	0.888302803	0.924629867	0.513203919	0.575757563	0.668859661	-0.863352001	156	320	167	2611	273	3010	0.042553617	0.796979914	0.885206688	0.94050983	0.505330691	0.583258308	0.681975357	-0.874671801	149.7567568	297.3513514	156.0540541	2601.945946	263.7567568	3011.864865	203.9810333	228.4889069	243.5928802	3
S-7-3	130102-M1-S2	0.15	561523	4898458	779.2979736	2.985076904	21.36912216	144.4085552	-0.813187672	0.582001555	4.819266202	48.07400131	31.09665232	31.9021249	31.44928704	0.005703741	0.011655305	0.025464993	0.033182345	0.162053347	0.128686745	0.186230751	0.172511607	706.2205695	73.07740417	0.385164051	no	no	43	2552.300049	48.48999023	3.200000048	15.35999966	2059.080078	29.37794725	791.8915596	200	-5	33	192	107	2036	599	219	3008	3001	900	1983	1552	1472	-143	165	181	331	182	2663	805	303	3014	3004	872	2585	2125	1858	-179	42	72	217	121	2297	625	231	2945	2937	899	2190	1738	1657	-116	-64	-14	136	71	1906	530	193	2970	2965	928	1881	1397	1414	-125	0.89975	2.15975	1703	1600.25	-140.75	0.439170374	0.441896121	-0.424573383	-0.649301707	0.552881185	0.982050002	0.963720381	0.005703741	0.007914274	0.162053347	28.97500038	19.92000008	48.07400131	46.31000137	5.690339565	130102_M1_S2	777.9410549	14.77974902	18.5	52.5	204.5	114	2166.5	612	225	2989	2983	6.674425726	3.380278338	5.298322367	-0.017095294	-5.005089587	-1.813677852	0.038190213	0.846272409	0.883054256	0.915902257	0.503608882	0.558633387	0.633678555	-0.837828934	166	344	182	2826	328	3015	0.039570914	0.805327672	0.873496975	0.912962639	0.478391219	0.552051519	0.627162559	-0.827946027	168.8888889	349.3611111	191.6388889	2861.555556	350.2222222	3014.944444	209.9143982	236.2275543	277.5880737	2
S-1-3	131067-M1-S2	0.15	560727	4904273	989.5112305	5.179786682	34.43642332	67.83655383	0.377250019	0.926111453	3.521511091	11.82800007	20.92550517	30.38150229	30.05966551	0.136667848	0.051847041	0.031032513	0.038276727	0	0.198738422	0.156055869	0.165571738	975.7036611	13.80756938	0.227960057	yes	no	3	3250.861328	23.80615234	3.779999971	14.13000011	2205.790039	29.13019392	534.1264758	32	2	54	260	120	2850	709	247	3015	3001	919	2155	2099	2085	-87	146	159	358	179	3170	879	319	3022	3011	893	2449	2448	2255	-154	30	65	259	135	2701	711	265	2960	2949	904	2121	2029	1956	-118	-50	-4	180	86	2458	596	201	2986	2982	932	1973	1765	1829	-73	0.912	2.1745	2085.25	2031.25	-108	0.709040712	0.516300819	0.764122919	0.282487251	0.701637818	0.74762243	0.70999676	0.136667848	0.136806235	0	4.659999847	4.559999943	11.82800007	11.79300022	4.546593189	131067_M1_S2	990.8625328	7.256115233	16	59.5	259.5	127.5	2775.5	710	256	3000.5	2991.5	6.280634529	3.371809556	3.465767152	-0.289520521	-1.982911396	-6.907755279	0.062172332	0.728883624	0.873074353	0.919777572	0.462197959	0.597570717	0.701249659	-0.896213889	171	383	251	3308	379	3028	0.066749078	0.72006856	0.838563047	0.896120611	0.393668986	0.50905509	0.642163099	-0.763428445	193.8571429	429.4285714	303.3714286	3168.371429	531.1714286	3023.571429	248.1270447	239.6055603	230.2810974	2
