nm_Kit_ID,Easting,Northing,nm_Sampling_Date,fht_eDNA_survey_date,datecomp,fht_Site_comb,nm_Pond_Name,namedist,fht_Site_number,fht_Site_Name,Company,Sampler_Name,Sampling_DateTime,Arrival_Date,num_tubes,Damaged_tubes,Liquid_in_bag,Tubes_labelled,Tubes_filled,Additional_notes,Lab_work_Started,IPC_Positive_out_of_12,GCN_Positive_out_of_12,GCN_Status,GCN_Square,Site_number_CHECK,Surveyor,1_km_square,Grid_reference,eDNA_score,GCN_test_result,Positive_no_kit,Kit_negative,Newt_Positive_sites,Newt_Negative_sites,HSI1_Pond_location,HSI2_Pond_area,HSI3_Pond_drying,HSI4_Water_quality,HSI5_Shade,HSI6_Waterfowl,HSI7_Fish,HSI8_Pond_count,HSI9_Terrestrial_habitat,HSI10_Macrophytes,DIMITRIOS_HSI,NO_HSI_REASON,SITE_FROM_DIMITRIOS,Inflow_present,Outflow_present,Nitrate,Phosphate,Clean,N,P
FHT580,495481,247440,2017-06-09 00:00,2017-06-09 00:00,MATCH,The moat,87b,1,NA,The moat,Freshwater Habitats Trust,HJ,NA,2017-06-22 00:00,6,No,No,Yes,Yes,NA,2017-06-27 00:00,12,0,Negative,negative,NA,Hanna,SP9547,SP9548147440,0,Negative,FALSE,TRUE,NA,Negative,1,40,3,3,95,3,3,>12,3,20,0.543661485,NA,87b,N,N,<0.2,<0.2,1,0.1,0.01
FHT759,503396,240313,2017-06-09 00:00,NA,NA,How End Cottage Pond B,2a,1,NA,How End Cottage Pond B,Freshwater Habitats Trust,HJ,NA,2017-06-22 00:00,6,No,No,Yes,Yes,NA,2017-06-27 00:00,12,1,Positive,positive,NA,HJ,TL0340,TL0339640313,1,Positive,FALSE,FALSE,Positive,NA,1,70,1,3,0,3,2,2,2,80,0.568818739,NA,2a,NA,NA,NA,NA,NA,NA,NA
FHT912,500326,229532,2017-06-16 00:00,2017-06-16 00:00,MATCH,71,Toddington Manor,1,71,NA,Freshwater Habitats Trust,Iain Naismith,2017-06-16 15:20,2017-06-23 00:00,6,No,No,Yes,Yes,NA,2017-06-28 00:00,12,0,Negative,positive,71,Iain,TL0029,TL0032629532,0,Negative,FALSE,TRUE,Negative,NA,1,2100,3,4,80,3,4,18,4,30,0.545084987,NA,70,Y,Y,0.2-0.5,0.02-0.05,2,0.35,0.035
FHT927,497528,215056,2017-06-15 00:00,2017-06-15 00:00,MATCH,524,Wards Farm,1,524,NA,Freshwater Habitats Trust,Iain Naismith,2017-06-15 18:30,2017-06-23 00:00,6,No,No,Yes,Yes,NA,2017-06-28 00:00,12,1,Positive,negative,524,Iain,SP9715,SP9752815056,1,Positive,FALSE,FALSE,NA,Positive,1,490.9375,3,3,0,3,4,4,3,5,0.754892149,NA,524,N,N,<0.2,<0.02,2,0.1,0.01
FHT689,460957,198157,2017-05-21 00:00,2017-05-21 00:00,MATCH,241 Land at Belchers Farm and Ascot Farm,244 (SU6095798157),0.632407407,241,Land at Belchers Farm and Ascot Farm,Freshwater Habitats Trust,IS,2017-05-21 16:00,2017-05-25 00:00,6,No,No,Yes,Yes,NA,2017-05-30 00:00,12,12,Positive,negative,241,Ian,SU6098,SU6095798157,12,Positive,FALSE,FALSE,NA,Positive,1,2700,1,3,100,2,3,>12,4,0.1,0.769613634,NA,240,Y,Y,0.2-0.5,0.1-0.2,1,0.35,0.15
FHT858,502560,259550,2017-06-11 00:00,2017-06-11 00:00,MATCH,Bletsoe,185/496 - Bletsoe,0.599439776,NA,Bletsoe,Freshwater Habitats Trust,PSW,2017-06-11 15:50,2017-06-26 00:00,6,No,No,Yes,Yes,NA,2017-07-11 00:00,12,0,Negative,positive,NA,PSW,TL0259,TL02565955,0,Negative,FALSE,TRUE,Negative,NA,1,210,4,2,70,1,4,5,2,5,0.320920124,NA,185/496,N,N,<0.2,1+,1,0.1,1.1
FHT674,425219,191156,2017-05-23 00:00,2017-05-23 00:00,MATCH,NW of farm,Pond 292aSouth Down Park,0.597222222,NA,NW of farm,Freshwater Habitats Trust,IS,NA,2017-06-01 00:00,6,No,No,Yes,Yes,NA,2017-06-05 00:00,12,0,Negative,negative,NA,IS,SU2591,SU2521991156,0,Negative,FALSE,TRUE,NA,Negative,1,400,1,4,60,3,4,1,4,70,0.8579172,NA,292a,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT620,500950,265230,2017-06-21 00:00,2017-06-21 00:00,MATCH,Yelden NR Red Barn: surveyed twice by Hannah and Penny,330/852 - Shireway Pond,0.585346216,NA,Yelden NR Red Barn: surveyed twice by Hannah and Penny,Freshwater Habitats Trust,HW,2017-06-21 16:20,2017-07-03 00:00,6,No,No,Yes,No,NA,2017-07-04 00:00,0,1,Positive,negative,NA,Hannah,TL0065 ,TL00956523,1,Positive,FALSE,FALSE,NA,Positive,1,240,3,3,70,3,4,4,2,30,0.688337214,NA,330 / 852,N,N,<0.2,0.05-0.1,1,0.1,0.075
FHT693,446799,199495,2017-05-13 00:00,2017-05-13 00:00,MATCH,18 BBOWT Typha pond in SW of Dry Sandford Pit,18P (SU 40979 99426),0.56957672,18,BBOWT Typha pond in SW of Dry Sandford Pit,Freshwater Habitats Trust,IS,2017-05-13 16:40,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,0,Negative,positive,18,Ian,SU4699,SU4679999495,0,Negative,FALSE,TRUE,Negative,NA,1,200,3,4,75,3,4,7,4,30?,0.767106844,NA,18,N,N,<0.2,<0.02,2,0.1,0.01
FHT681,460027,205952,2017-05-13 00:00,2017-05-13 00:00,MATCH,346 Oxford Brookes Wheatley Campus,346 (SP5941105935),0.525054466,346,Oxford Brookes Wheatley Campus,Freshwater Habitats Trust,IS,NA,2017-05-23 00:00,6,No,No,Yes,Yes,NA,2017-05-24 00:00,12,9,Positive,negative,346,Ian,SP6005,SP6002705952,9,Positive,FALSE,FALSE,NA,Positive,1,263,1,3,100,3,3,11,3,5,0.627557459,NA,346,N,Y,<0.2,0.02-0.05,2,0.1,0.035
